sn,soil,cascade_mm,uzf_mm,cascade_pct,uzf_pct,RMSE_mm_d,bias_pct,r
2,2. Loamy Sand,416.69170259924454,580.9042970248576,32.41576184554614,45.19037751400218,2.8539287451679396,-28.268442025070122,0.3221288080926107
3,3. Sandy Loam,600.3007940361017,354.01515595264283,46.69929219560562,27.53995559184805,2.879543171924881,69.569235650579,0.19264051019812806
4,4. Silt Loam,411.02487506300326,226.64548546442305,31.974921457583704,17.63146718390223,2.029035028247104,81.35145035903332,0.12104207851194324
6,6. Clay,110.58722356492939,0.018489029270263864,8.60292892774155,0.0014383199037601663,0.5850542751072683,11056.873453565911,-0.1577670235942225
12,12. Loam,473.44505899139705,241.5148449120461,36.830784446830734,18.788201555245205,2.4418604805016737,96.03145271000395,0.058051048907976986
